id;rulebook_id;class_id;level;name;overriden_trait_id;effect 1
2870;4;378;1;Enhance Arrow +1;;
2871;4;378;2;_Imbue Arrow_;;
2872;4;378;3;Enhance Arrow +2;;
2873;4;378;4;_Seeker Arrow_;;
2874;4;378;5;Enhance Arrow +3;;
2875;4;378;6;_Phase Arrow_;;
2876;4;378;7;Enhance Arrow +4;;
2877;4;378;8;_Hail of Arrows_;;
2878;4;378;9;Enhanse Arrow +5;;
2879;4;378;10;_Arrow of Death_;;
2880;4;379;1;Ranged Legerdemain 1/day;;
2881;4;379;2;Sneak Attack +1d6;;
2882;4;379;3;Impromptu Sneak Attack 1/day;;
2883;4;379;4;Sneak Attack +2d6;;
2884;4;379;5;Ranged Legerdemain 2/day;;
2885;4;379;6;Sneak Attack +3d6;;
2886;4;379;7;Impromptu Sneak Attack 2/day;;
2887;4;379;8;Sneak Attack +4d6;;
2888;4;379;9;Ranged Legerdemain 3/day;;
2889;4;379;10;Sneak Attack +5d6;;
2900;4;380;1;High Arcana;;
2901;4;380;2;High Arcana;;
2902;4;380;3;High Arcana;;
2903;4;380;4;High Arcana;;
2904;4;380;5;High Arcana;;
2906;4;381;1;death attack;;
2907;4;381;1;poison use;;
2905;4;381;1;Sneak attack +1d6;;
2908;4;381;1;spells;;
2909;4;381;2;1 save against poison;;
2910;4;381;2;uncanny dodge;;
2911;4;381;3;Sneak attack +2d6;;
2912;4;381;4;2 save against poison;;
2913;4;381;5;Improved uncanny dodge;;
2914;4;381;5;sneak attack +3d6;;
2915;4;381;6;3 save against poison;;
2916;4;381;7;Sneak attack +4d6;;
2917;4;381;8;4 save against poison;;
2918;4;381;8;hide in plain sight;;
2919;4;381;9;Sneak attack +5d6;;
2920;4;381;10;5 save against poison;;
2922;4;382;1;_detect good_;;
2921;4;382;1;Aura of evil;;
2923;4;382;1;poison use;;
2924;4;382;2;Dark blessing;;
2925;4;382;2;smite good 1/day;;
2927;4;382;3;aura of despair;;
2926;4;382;3;Command undead;;
2928;4;382;4;Sneak attack +1d6;;
2929;4;382;5;Fiendish servant;;
2930;4;382;5;smite good 2/day;;
2931;4;382;7;Sneak attack +2d6;;
2933;4;382;10;smite good 3/day;;
2932;4;382;10;Sneak attack +3d6;;
2934;4;383;1;Natural armor increase (+1);;
2935;4;383;2;Ability boost (Str +2);;
2936;4;383;2;claws and bite;;
2937;4;383;3;Breath weapon (2d8);;
2938;4;383;4;Ability boost (Str +2);;
2939;4;383;4;natural armor increase (+2);;
2940;4;383;5;Blindsense 30 ft.;;
2941;4;383;6;Ability boost (Con +2);;
2942;4;383;7;Breath weapon (4d8);;
2943;4;383;7;natural armor increase (+3);;
2944;4;383;8;Ability boost (Int +2);;
2945;4;383;9;Wings;;
2946;4;383;10;Blindsense 60 ft.;;
2947;4;383;10;dragon apotheosis;;
2948;4;384;1;Canny defense;;
2949;4;384;2;Improved reaction +2;;
2950;4;384;3;Enhanced mobility;;
2951;4;384;4;Grace;;
2952;4;384;5;Precise strike +1d6;;
2953;4;384;6;Acrobatic charge;;
2954;4;384;7;Elaborate parry;;
2955;4;384;8;Improved reaction +4;;
2956;4;384;9;Deflect arrows;;
2957;4;384;10;Precise strike +2d6;;
2968;4;385;1;Defensive stance 1/day;;
2969;4;385;2;Uncanny dodge;;
2970;4;385;3;Defensive stance 2/day;;
2971;4;385;4;Trap sense +1;;
2972;4;385;5;Defensive stance 3/day;;
2973;4;385;6;Damage reduction 3/-;;
2974;4;385;6;improved uncanny dodge;;
2975;4;385;7;Defensive stance 4/day;;
2976;4;385;8;Mobile defense;;
2977;4;385;8;trap sense +2;;
2978;4;385;9;Defensive stance 5/day;;
2979;4;385;10;Damage reduction 6/-;;
2980;4;386;1;Bonus feat;;
2981;4;386;2;1 level of existing arcane spellcasting class;;
2982;4;386;3;1 level of existing arcane spellcasting class;;
2983;4;386;4;1 level of existing arcane spellcasting class;;
2984;4;386;5;1 level of existing arcane spellcasting class;;
2985;4;386;6;1 level of existing arcane spellcasting class;;
2986;4;386;7;1 level of existing arcane spellcasting class;;
2987;4;386;8;1 level of existing arcane spellcasting class;;
2988;4;386;9;1 level of existing arcane spellcasting class;;
2989;4;386;10;1 level of existing arcane spellcasting class;;
2990;4;387;1;Special ability;;
2991;4;387;2;Special ability;;
2992;4;387;3;Special ability;;
2993;4;387;4;Special ability;;
2994;4;387;5;Special ability;;
2995;4;388;1;Terrain Mastery;;
2996;4;388;2;Terrain Mastery;;
2997;4;388;3;Terrain Mastery;;
2998;4;388;4;Terrain Mastery;;
2999;4;388;5;Terrain Mastery;;
3000;4;388;6;Planar Terrain Mastery;;
3001;4;388;7;Planar Terrain Mastery;;
3002;4;388;8;Planar Terrain Mastery;;
3003;4;388;9;Planar Terrain Mastery;;
3004;4;388;10;Planar Terrain Mastery;;
3005;4;389;1;Secret;;
3006;4;389;2;Lore;;
3007;4;389;3;Secret;;
3008;4;389;4;Bonus language;;
3009;4;389;5;Secret;;
3010;4;389;6;Greater lore;;
3011;4;389;7;Secret;;
3012;4;389;8;Bonus language;;
3013;4;389;9;Secret;;
3014;4;389;10;True lore;;
3015;4;391;1;Enhanced specialization;;
3016;4;391;1;specialist defense +1;;
3017;4;391;2;Spell power +1;;
3018;4;391;3;Specialist defense +2;;
3019;4;391;4;Spell power +2;;
3020;4;391;5;Bonus feat;;
3021;4;391;5;circle leader;;
3022;4;391;6;Spell power +3;;
3024;4;391;7;scribe tattoo;;
3023;4;391;7;Specialist defense +3;;
3025;4;391;8;Spell power +4;;
3026;4;391;9;Specialist defense +4;;
3027;4;391;10;Great circle leader;;
3028;4;391;10;spell power +5;;
3029;4;392;1;Hide in plain sight;;
3031;4;392;2;darkvision;;
3030;4;392;2;Evasion;;
3032;4;392;2;uncanny dodge;;
3033;4;392;3;_Shadow illusion_;;
3034;4;392;3;summon shadow;;
3035;4;392;4;Shadow jump 20 ft.;;
3036;4;392;5;Defensive roll;;
3037;4;392;5;improved uncanny dodge;;
3038;4;392;6;Shadow jump 40 ft.;;
3039;4;392;6;summon shadow;;
3040;4;392;7;Slippery mind;;
3041;4;392;8;Shadow jump 80 ft.;;
3042;4;392;9;Summon shadow;;
3044;4;392;10;improved evasion;;
3043;4;392;10;Shadow jump 160 ft.;;
3045;4;393;1;Improved ally;;
3046;4;393;2;Augment Summoning;;
3047;4;393;3;Extended summoning;;
3048;4;393;4;Contingent conjuration;;
3049;4;393;5;Planar cohort;;
479;4;917;2;Summon Familiar;;
81;6;89;1;Fast movement;;SPEED 2
82;6;89;1;Illiteracy;;
83;6;89;1;Rage 1/day;;
84;6;89;2;Uncanny dodge;;
85;6;89;3;Trap sense +1;;
86;6;89;4;Rage 2/day;83;
87;6;89;5;Improved uncanny dodge;84;
88;6;89;6;Trap sense +2;85;
89;6;89;7;Damage reduction 1/-;;DR 1
90;6;89;8;Rage 3/day;86;
91;6;89;9;Trap sense +3;88;
92;6;89;10;Damage reduction 2/-;89;DR 2
93;6;89;11;Greater rage;;
94;6;89;12;Rage 4/day;90;
95;6;89;12;Trap sense +4;91;
96;6;89;13;Damage reduction 3/-;92;DR 3
97;6;89;14;Indomitable will;;
98;6;89;15;Trap sense +5;95;
99;6;89;16;Damage reduction 4/-;96;DR 4
100;6;89;16;Rage 5/day;94;
101;6;89;17;Tireless rage;;
102;6;89;18;Trap sense +6;98;
103;6;89;19;Damage Reduction 5/-;99;DR 5
104;6;89;20;Mighty rage;;
105;6;89;20;Rage 6/day;100;
9;6;90;1;Bardic knowledge;;
8;6;90;1;Bardic music;;
10;6;90;1;Countersong;;
11;6;90;1;Fascinate;;
12;6;90;1;Inspire courage +1;;
13;6;90;3;Inspire competence;;
14;6;90;6;Suggestion;;
15;6;90;8;Inspire courage +2;Inspire courage +1;
16;6;90;9;Inspire greatness;;
17;6;90;12;Song of freedom;;
18;6;90;14;Inspire courage +3;Inspire courage +2;
19;6;90;15;Inspire heroics;;
20;6;90;18;Mass suggestion;;
21;6;90;20;Inspire courage +4;Inspire courage +3;
7;6;91;1;Turn or rebuke undead;;
40;6;92;1;Animal companion;;
41;6;92;1;Nature sense;;SKILL(Knowledge (nature)) 2
42;6;92;1;Wild empathy;;
43;6;92;2;Woodland stride;;
44;6;92;3;Trackless step;;
45;6;92;4;Resist nature's lure;;SAVES 4 [fey]
46;6;92;5;Wild shape (1/day);;
47;6;92;6;Wild shape (2/day);Wild shape (1/day);
48;6;92;7;Wild shape (3/day);Wild shape (2/day);
49;6;92;8;Wild shape (large);;
50;6;92;9;Venom immunity;;IMUNE [poison]
51;6;92;10;Wild shape (4/day);Wild shape (3/day);
52;6;92;11;Wild shape (tiny);;
53;6;92;12;Wild shape (plant);;
54;6;92;13;A thousand faces;;
55;6;92;14;Wild shape (5/day);Wild shape (4/day);
56;6;92;15;Timeless body;;IMUNE [aging]
57;6;92;15;Wild shape (huge);;
58;6;92;16;Wild shape (elemental 1/day);;
59;6;92;18;Wild shape (6/day);Wild shape (5/day);
60;6;92;18;Wild shape (elemental 2/day);Wild shape (elemental 1/day);
61;6;92;20;Wild shape (elemental 3/day);Wild shape (elemental 2/day);
62;6;92;20;Wild shape (huge elemental);;
106;6;93;1;Bonus feat;;
107;6;93;2;Bonus feat;;
108;6;93;4;Bonus feat;;
109;6;93;6;Bonus feat;;
110;6;93;8;Bonus feat;;
111;6;93;10;Bonus feat;;
112;6;93;12;Bonus feat;;
113;6;93;14;Bonus feat;;
114;6;93;16;Bonus feat;;
115;6;93;18;Bonus feat;;
116;6;93;20;Bonus feat;;
141;6;94;1;Bonus feat;;
142;6;94;1;Flurry of blows (-2);;
7089;6;94;1;Unarmed damage 1d6;;
143;6;94;1;Unarmed strike;;
144;6;94;2;Bonus feat;;
145;6;94;2;Evasion;;
7090;6;94;3;Speed bonus +10 ft.;;SPEED 2
146;6;94;3;Still mind;;SAVES 2 [enchantment]
147;6;94;4;Ki strike (magic);;
148;6;94;4;Slow fall 20 ft.;;
7091;6;94;4;Unarmed damage 1d8;Unarmed damage 1d6;
7092;6;94;5;AC bonus +1;;AC 1
7093;6;94;5;Flurry of blows (-1);Flurry of blows (-2);
149;6;94;5;Purity of body;;IMUNE [disease]
150;6;94;6;Bonus feat;;
151;6;94;6;Slow fall 30 ft.;Slow fall 20 ft.;
7094;6;94;6;Speed bonus +20 ft.;Speed bonus +10 ft.;SPEED 4
152;6;94;7;Wholeness of body;;
153;6;94;8;Slow fall 40 ft.;Slow fall 30 ft.;
7095;6;94;8;Unarmed damage 1d10;Unarmed damage 1d8;
