id;rulebook_id;page;name;name_pt;effect_1;effect_2
1073;4;209;Familiar Spell;;;
1266;4;209;Great Smiting;;;
1476;4;209;Improved Elemental Wild Shape;;;
1489;4;210;Improved Favored Enemy;;;
1520;4;210;Improved Metamagic;;;
1565;4;210;Improved Sneak Attack;;;
1567;4;210;Improved Spell Capacity;;;
3765;4;210;Improved Stunning Fist;;;
3764;4;210;Improved Stunning Fist;;;
1734;4;210;Lasting Inspiration;;;
2111;4;210;Overwhelming Critical;;;
2174;4;210;Planar Turning;;;
2702;4;210;Spell Knowledge;;;
2890;4;194;Tattoo Focus;;;
2900;4;210;Terrifying Rage;;;
12;5;303;Ability Focus;;;
156;5;303;Awesome Blow;;;
451;5;303;Craft Construct;;;
850;5;303;Empower Spell-Like Ability;;;
1153;5;303;Flyby Attack;;;
1414;5;304;Hover;;;
1529;5;304;Improved Natural Armor;;;
1533;5;304;Improved Natural Attack;;;
1997;5;304;Multiattack;;;
2015;5;304;Multiweapon Fighting;;;
2336;5;304;Quicken Spell-Like Ability;;;
2661;5;304;Snatch;;;
3152;5;304;Wingover;;;
25;6;89;Acrobatic;Acrobático;SKILL(Jump) 2;SKILL(Tumble) 2
49;6;89;Agile;Ágil;SKILL(Balance) 2;SKILL(Escape artist) 2
56;6;89;Alertness;Prontidão;SKILL(Listen) 2;SKILL(Spot) 2
3197;6;89;Animal Affinity;Afinidade com Animais;SKILL(Handle Animal) 2;SKILL(Ride) 2
113;6;89;Armor Proficiency (Heavy);Usar Armadura (Pesada);;
115;6;89;Armor Proficiency (Light);Usar Armadura (Leve);;
117;6;89;Armor Proficiency (Medium);Usar Armadura (Média);;
134;6;89;Athletic;Atlético;SKILL(Climb) 2;SKILL(Swim) 2
141;6;89;Augment Summoning;Potencializar Invocação;;
224;6;89;Blind-Fight;Lutar às Cegas;;
274;6;89;Brew Potion;Preparar Poção;;
354;6;92;Cleave;Trespassar;;
391;6;92;Combat Casting;Magia em Combate;;
394;6;92;Combat Expertise;Especialização em Combate;;
403;6;92;Combat Reflexes;Reflexos de Combate;;
462;6;92;Craft Magic Arms and Armor;Criar Armaduras e Armas Mágicas;;
472;6;92;Craft Rod;Criar Bastão;;
477;6;92;Craft Staff;Criar Cajado;;
481;6;92;Craft Wand;Criar Varinha;;
483;6;92;Craft Wondrous Item ;Criar Item Maravilhoso;;
