id;rulebook_id;name;name_pt;key ability;armor penalty;untrained;synergy to
1;6;Appraise;Avaliação;INT;;yes;
2;6;Balance;Equilíbrio;DEX;yes;yes;
3;6;Bluff;Blefar;CHA;;yes;Diplomacy, Disguise [acting], Intimidate, Sleight of Hand
4;6;Climb;Escalar;STR;yes;yes;
5;6;Concentration;Concentração;CON;;yes;
6;6;Craft (alchemy);Ofícios (alquimia);INT;;yes;Appraise (alchemy)
7;6;Craft (armor-smithing);Ofícios (armoraria);INT;;yes;Appraise (armor-smithing)]
8;6;Craft (bowmaking);Ofícios (arquearia);INT;;yes;Appraise (bowmaking)
9;6;Craft (blacksmithing);Ofícios (ferreiro);INT;;yes;Appraise (blacksmithing)
10;6;Craft (trapmaking);Ofícios (armadilharia);INT;;yes;Appraise (trapmaking)
11;6;Craft (weaponsmithing);Ofícios (armeiro);INT;;yes;Appraise (weaponsmithing)
12;6;Decipher Script;Decifrar Escrita;INT;;;Use Magic Device [scrolls]
13;6;Diplomacy;Diplomacia;CHA;;yes;
14;6;Disable Device;Operar Mecanismo;INT;;yes;
15;6;Disguise;Disfarces;CHA;;yes;
16;6;Escape Artist;Arte da Fuga;DEX;yes;yes;Use Rope [bindings]
17;6;Forgery;Falsificação;INT;;yes;
18;6;Gather Information;Obter Informação;CHA;;yes;
19;6;Handle Animal;Adestrar Animais;CHA;;;Ride
20;6;Heal;Cura;WIS;;yes;
21;6;Hide;Esconder-se;DEX;yes;yes;
22;6;Intimidate;Intimidação;CHA;;yes;
23;6;Jump;Saltar;STR;;yes;Tumble
24;6;Knowledge (arcana);Conhecimento (arcano);INT;;;Spellcraft
25;6;Knowledge (geography);Conhecimento (geografia);INT;;;Survival [avoid getting lost, hazards]
26;6;Knowledge (history);Conhecimento (história);INT;;;
27;6;Knowledge (nature);Conhecimento (natureza);INT;;;Survival [aboveground natural]
28;6;Knowledge (nobility and royality);Conhecimento (nobreza e realeza);INT;;;Diplomacy
29;6;Knowledge (religion);Conhecimento (religião);INT;;;
30;6;Knowledge (the planes);Conhecimento (planos);INT;;;Survival [other planes]
50;6;Knowledge (architecture and engineering);Conhecimento (arquitetura e engenharia);INT;;;
51;6;Knowledge (local);Conhecimento (local);INT;;;
52;6;Knowledge (dungeoneering);Conhecimento (masmorras);INT;;;
31;6;Listen;Ouvir;WIS;;yes;
32;6;Move Silently;Furtividade;DEX;yes;yes;
33;6;Open Lock;Abrir Fechaduras;DEX;;;
34;6;Perform (act);Atuação (dramaturgia);CHA;;;
35;6;Perform (dance);Atuação (dança);CHA;;;
36;6;Perform (sing);Atuação (canto);CHA;;;
37;6;Profession (cook);Profissão (cozinheiro);WIS;;;
38;6;Profession (herbalist);Profissão (herbalista);WIS;;;
39;6;Ride;Cavalgar;DEX;;yes;
40;6;Search;Procurar;INT;;yes;Survival [tracks]
41;6;Sense Motive;Sentir Motivação;WIS;;yes;Diplomacy
42;6;Sleight of Hand;Prestidigitação;DEX;yes;;
43;6;Spellcraft;Identificar Magia;INT;;;Use Magic Device [scrolls]
44;6;Spot;Observar;WIS;;yes;
45;6;Survival;Sobrevivência;WIS;;yes;Knowledge (nature)
46;6;Swim;Natação;STR;;yes;
47;6;Tumble;Acrobacias;DEX;yes;;Balance, Jump
48;6;Use Magic Device;Usar Intrumento Mágico;CHA;;;Spellcraft [scrolls]
49;6;Use Rope;Usar Cordas;DEX;;yes;Climb [ropes], Escape Artist [ropes]
